timestamp,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,split_stride_pace,cycle_time,split_cycle_time,contact_ratio,debug_1,debug_2,flight_time,stride_angle,walking,footstrike_type_new
408,1,1.7251,160.2136,1.2921,460,0,,9.2403,8.8711,2.5859,12,-1.2054,322.1436,0.646,-16.8817,6.4442,36.5276,1.7251,749,749,159.1696,36.457,2.4727,-86,3.214,,8.1634
1157,2,1.917,178.0415,1.2921,405,0,,8.5985,8.1133,2.8477,13,-1.1112,243.4082,0.646,-20.6685,4.2329,35.8556,1.917,674,674,150.5576,35.4766,1.3242,-68,2.0107,,8.7936
1831,3,1.7159,159.3625,1.2921,394,0,,9.3279,8.8203,3.0352,12,0.2031,348.1445,0.646,-13.1124,5.2331,48.8123,1.7159,753,753,109.7493,49.1836,3.832,-18,0.1409,,8.5086
2584,4,1.3334,123.839,1.2921,614,0,,10.7894,1.8984,10.6211,3,-0.7016,37.7197,0.646,-24.2485,27.2085,72.7325,1.3334,969,969,172.9577,76.832,0.4961,-130,7.3118,,2.2456
3553,5,1.376,127.7955,1.2921,599,0,,9.0301,5.6172,7.0703,4,-7.3862,256.7749,0.646,-32.7897,25.4392,77.0841,1.376,939,939,176.1765,78.5469,7.4453,-130,7.3118,,2.7498
4492,6,1.3983,129.8701,1.2921,574,0,,15.4355,14.293,5.8281,6,-12.9053,332.1533,0.646,-11.6119,19.8954,75.9116,1.3983,924,924,164,82.9336,13.1797,-112,5.4404,,4.3298
5416,7,1.3923,129.3103,1.2921,579,0,,12.2525,4.4844,11.4023,6,-11.1103,341.6748,0.646,-10.0462,19.574,85.0084,1.3923,928,928,165.9026,91.0039,11.6797,-115,5.7339,,4.4214
6344,8,1.3834,128.4797,1.2921,585,0,,14.5712,4.6055,13.8242,7,-5.6496,257.0801,0.646,-22.8546,16.2579,89.079,1.3834,934,934,167.6218,95.3789,5.5234,-118,6.0347,,5.3665
7278,9,1.4293,132.7434,1.2921,553,0,,8.2686,6.8008,4.7031,3,-10.2365,322.4487,0.646,-11.4991,25.6173,78.1572,1.4293,904,904,157.5499,83.4375,10.875,-101,4.4288,,2.6991
8182,10,1.48,137.457,1.2921,558,0,,10.3608,3.0352,9.9063,6,-7.649,283.6914,0.646,-13.8114,19.2386,84.48,1.48,873,873,177.1429,90.582,7.6016,-122,6.4474,,4.517
9055,11,1.8485,171.6738,1.2921,364,0,,8.9405,2.3398,8.6289,4,-8.9917,226.6846,0.646,-4.4126,24.383,43.0667,1.8485,699,699,108.6567,65.582,8.6914,-15,0.0979,,3.0508
9754,12,1.9726,183.2061,1.2921,329,0,,15.9337,12.332,10.0898,14,-1.8964,246.1548,0.646,-10.1493,1.7229,27.0722,1.9726,655,655,100.9202,42.7773,3.9688,-2,0.0017,,9.509
10409,13,1.6694,186.6252,1.0734,315,1.8692,,18.8054,10.1484,15.832,16,-6.3287,237.5488,0.5367,-8.5276,0.285,24.9217,1.6694,643,643,96.0366,43.9258,5.4414,6,0.0189,,9.9188
11052,14,1.7108,153.8462,1.3344,369,5.3846,,14.6325,8.1563,12.1484,15,-0.5706,191.04,0.6672,-6.8444,1.4043,32.4433,1.7108,780,780,89.781,54.375,2.2852,21,0.1858,,9.5998
11832,15,1.3923,129.3103,1.2921,584,0,,10.2531,3.9141,9.4766,11,-3.5889,290.5884,0.646,-11.5304,7.3359,76.0137,1.3923,928,928,169.7674,83.5898,4.543,-120,6.2394,,7.9093
12760,16,1.4293,132.7434,1.2921,584,0,,7.4134,2.7148,6.8984,4,-12.3009,320.7397,0.646,-10.7347,24.2034,82.8527,1.4293,904,904,182.5,85.7852,12.2109,-132,7.536,,3.102
13664,17,1.4293,132.7434,1.2921,554,0,,7.3295,3.6914,6.332,3,-13.8303,336.6699,0.646,-8.9167,26.0584,67.5082,1.4293,904,904,158.2857,79.9688,13.7188,-102,4.5165,,2.5734
14568,18,1.4388,133.6303,1.2921,548,0,,11.5733,3.2969,11.0938,6,-8.9428,382.2021,0.646,-15.984,20.2106,82.213,1.4388,898,898,156.5714,91.1563,8.5664,-99,4.2557,,4.24
15466,19,1.3983,129.8701,1.2921,569,0,,9.4409,8.2305,4.625,5,-8.4084,295.7764,0.646,-18.1925,21.0821,86.3841,1.3983,924,924,160.2817,90.8984,8.1914,-107,4.968,,3.9916
16390,20,1.3834,128.4797,1.2921,584,0,,9.52,6.0391,7.3594,1,-10.4322,238.0981,0.646,-16.0697,30.9586,80.6101,1.3834,934,934,166.8571,82.0352,10.8438,-117,5.9336,,1.1768
17324,21,1.4152,131.4348,1.2921,584,0,,9.592,5.2266,8.043,3,-12.3811,300.7202,0.646,-14.7566,26.3362,84.4898,1.4152,913,913,177.5076,86.1914,12.2734,-128,7.0909,,2.4942
18237,22,1.3849,128.6174,1.2921,569,0,,8.4999,2.9258,7.9805,4,-9.8752,287.9639,0.646,-22.8772,23.8325,75.364,1.3849,933,933,156.3187,84.8828,9.8945,-103,4.6051,,3.2077
19170,23,1.3908,129.1712,1.2921,599,0,,12.7424,11.3555,5.7813,4,-11.6563,331.1768,0.646,-15.3835,24.4587,84.4562,1.3908,929,929,181.5152,86.418,11.5117,-135,7.8781,,3.0293
20099,24,1.3983,129.8701,1.2921,588,0,,11.6121,3.5547,11.0547,3,-11.6128,282.4097,0.646,-11.3106,27.8757,83.2236,1.3983,924,924,175,85.5938,11.7344,-126,6.8732,,2.0554
21023,25,1.4136,131.291,1.2921,589,0,,14.2364,13.3828,4.8555,2,-13.0124,318.3594,0.646,-17.5891,30.2768,81.39,1.4136,914,914,181.2308,82.8359,12.7188,-132,7.536,,1.3711
21937,26,1.423,132.1586,1.2921,560,0,,6.264,3.3438,5.2969,4,-10.2375,299.6216,0.646,-19.6963,23.5326,85.4383,1.423,908,908,160.9195,86.7461,11.0313,-106,4.876,,3.2932
22845,27,1.4136,131.291,1.2921,559,0,,6.9843,3.4883,6.0508,3,-12.3717,314.209,0.646,-15.7569,26.6569,74.685,1.4136,914,914,157.4648,84.293,12.5586,-102,4.5165,,2.4028
23759,28,1.3834,128.4797,1.2921,599,0,,15.2498,7.1445,13.4727,3,-11.6867,291.4429,0.646,-16.2577,27.2743,83.5797,1.3834,934,934,178.806,85.1602,11.1328,-132,7.536,,2.2268
24693,29,1.4075,130.719,1.2921,588,0,,20.8216,15.7109,13.6641,3,-14.7497,344.4214,0.646,-19.188,26.4438,81.9406,1.4075,918,918,178.1818,80.5117,14.1406,-129,7.2009,,2.4635
25611,30,1.3775,127.9318,1.2921,602,0,,14.4709,12.4063,7.4492,5,-10.691,307.9224,0.646,-16.7483,21.8699,81.4189,1.3775,938,938,179.1667,81.832,11.7305,-133,7.6492,,3.7671
26549,31,1.3745,127.6596,1.2921,589,0,,15.7719,14.9531,5.0156,5,-12.7863,360.4736,0.646,-16.3373,20.8788,82.9615,1.3745,940,940,167.8063,85.5078,13.4727,-119,6.1367,,4.0495
27489,32,1.3999,130.0108,1.2921,584,0,,8.3956,6.3398,5.5039,4,-13.7872,301.5137,0.646,-11.0715,24.7206,77.6408,1.3999,923,923,172.2714,84.9531,13.8086,-123,6.5526,,2.9546
28412,33,1.3775,127.9318,1.2921,589,0,,13.2819,5.9102,11.8945,4,-12.076,298.0347,0.646,-9.3757,23.8839,77.0492,1.3775,938,938,168.7679,84.3906,12.125,-120,6.2394,,3.1931
29350,34,1.3687,127.1186,1.2921,598,0,,10.4882,9.0039,5.3789,4,-8.6424,209.1064,0.646,-11.8524,24.3982,84.5941,1.3687,944,944,172.8324,87.0586,9.0078,-126,6.8732,,3.0465
30294,35,1.4075,130.719,1.2921,569,0,,15.2678,14.3281,5.2734,6,-8.9475,304.3823,0.646,-9.8864,19.2597,80.7067,1.4075,918,918,163.0372,87.3047,9.2695,-110,5.249,,4.511
31212,36,1.3834,128.4797,1.2921,599,0,,16.4571,15.4688,5.6172,6,-7.0436,234.0698,0.646,-12.0767,20.2654,85.9452,1.3834,934,934,178.806,88.2695,6.832,-132,7.536,,4.2243
32146,37,1.406,130.5767,1.2921,588,0,,9.7285,6.9336,6.8242,6,-9.6569,313.1104,0.646,-15.2314,18.5567,89.192,1.406,919,919,177.6435,91.2344,9.4961,-129,7.2009,,4.7113
33065,38,1.4136,131.291,1.2921,574,0,,7.9283,4.2891,6.668,3,-11.9676,292.6636,0.646,-15.951,27.2409,81.7863,1.4136,914,914,168.8235,82.9336,12.1094,-117,5.9336,,2.2363
33979,39,1.4152,131.4348,1.2921,569,0,,11.257,3.5938,10.668,4,-10.6735,266.1133,0.646,-14.0896,24.8316,80.0142,1.4152,913,913,165.407,86.332,10.8516,-113,5.5374,,2.923
34892,40,1.3983,129.8701,1.2921,565,0,,8.427,4.4688,7.1445,7,-9.7451,333.0078,0.646,-12.8568,17.3633,82.3485,1.3983,924,924,157.3816,88.2266,9.9453,-103,4.6051,,5.0515
35816,41,1.406,130.5767,1.2921,579,0,,6.8485,3.7383,5.7383,3,-13.3711,299.4995,0.646,-13.2996,27.7518,75.7452,1.406,919,919,170.2941,80.1367,12.8711,-120,6.2394,,2.0908
36735,42,1.4309,132.8904,1.2921,579,0,,11.7957,10.4102,5.5469,3,-13.6267,323.3032,0.646,-15.3271,25.8161,82.9405,1.4309,903,903,178.7037,84.125,13.2773,-128,7.0909,,2.6424
37638,43,1.4309,132.8904,1.2921,554,0,,14.5799,12.6563,7.2383,4,-14.2141,329.0405,0.646,-10.1619,24.8709,74.1488,1.4309,903,903,158.7393,84.6719,14.125,-103,4.6051,,2.9118
38541,44,1.4199,131.8681,1.2921,573,0,,13.8912,12.5117,6.0352,3,-10.0397,241.8823,0.646,-12.4405,26.018,77.3736,1.4199,910,910,170.0297,82.2969,9.6563,-118,6.0347,,2.5849
39451,45,1.4152,131.4348,1.2921,584,0,,10.2803,5.4531,8.7148,7,-8.0206,283.9355,0.646,-16.782,17.8797,82.5769,1.4152,913,913,177.5076,87.3086,7.7422,-128,7.0909,,4.9043
40364,46,1.4136,131.291,1.2921,583,0,,15.7097,14.4961,6.0547,4,-11.8667,289.3066,0.646,-15.0317,23.8751,78.0812,1.4136,914,914,176.1329,80.4492,11.7891,-126,6.8732,,3.1956
41278,47,1.3775,127.9318,1.2921,593,0,,7.879,3.5859,7.0156,6,-8.3997,278.7476,0.646,-18.9592,19.2394,81.1498,1.3775,938,938,171.8841,87.5313,8.2656,-124,6.6587,,4.5168
42216,48,1.376,127.7955,1.2921,600,0,,14.8384,14.2422,4.1641,8,-4.6719,239.563,0.646,-15.8254,14.0777,83.042,1.376,939,939,176.9912,85.8164,5.8789,-131,7.4235,,5.9878
43155,49,1.3923,129.3103,1.2921,584,0,,7.5053,4.8789,5.7031,7,-7.0689,260.9253,0.646,-17.802,16.6751,84.7566,1.3923,928,928,169.7674,87.6797,7.0938,-120,6.2394,,5.2476
