timestamp,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,split_stride_pace,cycle_time,split_cycle_time,contact_ratio,debug_1,debug_2,flight_time,stride_angle,walking,footstrike_type_new
677,1,2.9713,156.658,2.276,325,15.1436,,21.0006,14.8164,14.8828,2,1.1804,104.5532,1.138,7.061,29.1771,57.9359,2.9713,766,766,73.6961,87.0898,0.3047,58,0.8307,,1.6845
1443,2,2.9106,153.8462,2.2702,315,19.2308,,15.6485,13.8555,7.2734,1,-0.8787,151.4893,1.1351,6.6915,31.6572,52.4783,2.9106,780,780,67.7419,87.4219,1.1016,75,1.3924,,0.9777
2223,3,2.9241,155.642,2.2545,325,15.5844,,11.0831,8.6055,6.9844,2,0.8173,120.9106,1.1273,6.9163,28.4492,57.8218,2.9241,771,771,72.87,86.2578,0.2031,60,0.8974,,1.892
2994,4,2.9462,154.8387,2.2833,330,14.7287,,16.4891,15.3633,5.9883,2,0.7157,127.3193,1.1416,5.5115,29.0896,57.1429,2.9462,775,775,74.1573,88.5117,0.2734,57,0.7997,,1.7095
3769,5,2.9578,156.8627,2.2627,325,14.9215,,9.8777,6.8086,7.1563,2,0.751,74.707,1.1314,6.5132,30.0969,56.4802,2.9578,765,765,73.8636,86.6875,0.2227,57,0.807,,1.4224
4534,6,2.9451,155.8442,2.2677,331,14.026,,19.6059,12.2734,15.2891,1,-2.4475,144.9585,1.1339,6.2559,30.9035,58.0572,2.9451,770,770,75.3986,87.9766,3.1953,54,0.7227,,1.1925
5304,7,2.9124,152.8662,2.2862,335,14.5408,,10.6309,8.9063,5.8047,2,0.7509,127.3804,1.1431,4.6242,29.9451,56.6771,2.9124,785,785,74.4444,88.4297,0.2031,57,0.7987,,1.4656
6089,8,2.8625,156.658,2.1927,325,15.1436,,19.7315,13.5742,14.3203,2,-0.1242,90.7593,1.0963,7.4442,30.169,54.4187,2.8625,766,766,73.6961,83.293,0.2031,58,0.8623,,1.4018
6855,9,2.8505,153.8462,2.2234,331,15.1282,,17.3073,12.6055,11.8594,2,-1.9723,136.4136,1.1117,9.0861,29.9666,58.5123,2.8505,780,780,73.7194,84.4258,1.7656,59,0.8799,,1.4595
7635,10,2.9735,156.658,2.2777,325,15.1436,,10.9768,2.4531,10.6992,3,-1.9815,134.5215,1.1388,4.9657,27.7266,55.5849,2.9735,766,766,73.6961,88.5195,2.4453,58,0.8301,,2.0979
