timestamp,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,split_stride_pace,cycle_time,split_cycle_time,contact_ratio,debug_1,debug_2,flight_time,stride_angle,walking,footstrike_type_new
607,1,3.4082,165.5172,2.4709,246,32.0442,,12.8678,8.2031,9.9141,2,-7.4426,367.4927,1.2355,5.9113,28.1456,57.4304,3.4082,725,725,51.357,106.6406,7.6797,116,3.058,,1.9785
1332,2,3.3428,164.3836,2.4403,255,30.137,,11.6329,7.1953,9.1406,2,-9.7463,313.8428,1.2201,7.1538,30.8263,54.9579,3.3428,730,730,53.6842,105.8242,9.0938,110,2.7848,,1.2145
2062,3,3.1893,167.8322,2.2803,265,25.7703,,12.7954,8.75,9.3359,2,-9.686,322.4487,1.1402,8.5525,30.0417,61.7625,3.1893,715,715,58.8889,99.5742,9.5273,92,2.0853,,1.4381
2777,4,3.1939,173.913,2.2038,270,21.7391,,13.6672,6.2617,12.1484,1,-8.0372,269.4702,1.1019,6.493,32.2662,58.2647,3.1939,690,690,64.2857,97.4258,7.6172,75,1.4343,,0.8041
3467,5,3.1276,170.2128,2.205,270,23.2955,,15.1844,5.2656,14.2422,2,-9.5968,274.7192,1.1025,8.0369,28.5363,59.4872,3.1276,705,705,62.069,96.8477,8.8984,82,1.7135,,1.8672
4172,6,3.1632,175.1825,2.1668,275,19.5906,,9.9037,6.2773,7.6602,3,-8.5189,344.4824,1.0834,5.9047,25.8771,65.6329,3.1632,685,685,67.0732,95.2148,7.4297,67,1.1643,,2.625
4857,7,3.1707,169.0141,2.2512,285,19.7183,,16.7237,12.0977,11.5469,3,-9.6092,307.7393,1.1256,7.5881,27.6288,62.5457,3.1707,710,710,67.0588,98.5391,7.9648,70,1.2232,,2.1258
5567,8,3.1898,167.5978,2.2839,276,22.905,,9.8926,5.4648,8.2461,3,-10.0268,356.3232,1.142,9.1908,27.3748,60.9566,3.1898,716,716,62.7273,99.3281,9.2148,82,1.6543,,2.1982
6283,9,3.2817,169.0141,2.33,285,19.7183,,17.3444,12.5156,12.0078,3,-9.2391,329.2236,1.165,6.8521,27.733,65.5091,3.2817,710,710,67.0588,102.2969,8.3672,70,1.1819,,2.0961
6993,10,3.2973,169.0141,2.3411,280,21.1268,,20.2126,15.7188,12.707,3,-8.8404,305.9692,1.1706,6.6678,27.4881,63.3039,3.2973,710,710,65.1163,103.2891,8.4063,75,1.3502,,2.1659
7703,11,3.2548,170.2128,2.2946,274,22.1591,,19.7274,14.7969,13.0469,2,-8.1694,247.2534,1.1473,7.5671,28.2376,60.2513,3.2548,705,705,63.5731,100.7344,6.3906,78,1.4899,,1.9523
8408,12,3.3034,175.1825,2.2628,281,17.8363,,12.3251,8.793,8.6367,3,-9.4035,283.8135,1.1314,5.7807,27.8839,63.7541,3.3034,685,685,69.5545,100.6992,9.8672,61,0.9242,,2.0531
9093,13,3.1248,167.8322,2.2342,280,21.5686,,18.1987,10.3672,14.957,3,-7.7268,298.4009,1.1171,7.8697,27.8823,62.055,3.1248,715,715,64.3678,98.9453,6.8008,77,1.4912,,2.0536
9808,14,3.5525,172.6619,2.469,275,20.7493,,8.902,4.3867,7.7461,5,-4.575,196.5942,1.2345,4.0555,22.6563,69.1465,3.5525,695,695,65.4762,108.4844,5.0117,72,1.18,,3.543
10503,15,3.3159,167.8322,2.3709,265,25.7703,,17.213,6.5313,15.9258,2,-9.2555,321.7773,1.1854,6.2419,28.8294,58.1551,3.3159,715,715,58.8889,104.1641,7.8203,92,2.0058,,1.7836
11218,16,3.3761,166.6667,2.4308,270,25,,10.0359,6.4141,7.7188,3,-8.0188,257.7515,1.2154,4.1203,27.6547,62.2022,3.3761,720,720,60,106.9883,7.0781,90,1.8723,,2.1184
11938,17,3.2791,165.2893,2.3806,260,28.3747,,18.6236,14.082,12.1875,1,-7.6541,308.7158,1.1903,7.2162,31.8878,57.7808,3.2791,726,726,55.794,103.582,6.332,103,2.5032,,0.912
12664,18,3.4357,165.7459,2.4874,259,28.453,,16.6233,10.1914,13.1328,3,-5.4303,323.6694,1.2437,6.4432,26.1685,63.781,3.4357,724,724,55.6989,108.6055,4.3242,103,2.3959,,2.542
13388,19,4.4848,167.8322,3.2066,260,27.1709,,18.5684,15.4414,10.3125,14,-1.1786,235.9619,1.6033,1.7196,2.8117,93.3333,4.4848,715,715,57.1429,137.3594,0,97,1.6488,,9.1987
14103,20,4.4734,168.7764,3.1806,264,25.6338,,14.696,7.5938,12.582,15,0.2489,217.4683,1.5903,-1.1242,0.6463,89.2594,4.4734,711,711,59.0604,137.3047,0.0352,91,1.4631,,9.8158
14814,21,3.5003,166.6667,2.5202,261,27.5,,11.1817,7.1445,8.6016,3,-9.4501,327.3315,1.2601,6.8374,26.5976,62.1224,3.5003,720,720,56.8627,110.2539,7.6133,99,2.1848,,2.4197
15534,22,4.5061,170.2128,3.1768,261,25.8523,,13.9674,8.5117,11.0742,16,0,259.5215,1.5884,-0.1767,0,88.645,4.5061,705,705,58.7838,136.1016,0.1289,91,1.4648,,10
16239,23,3.4692,170.2128,2.4458,271,23.0114,,15.1271,10.8516,10.5391,3,-6.237,290.2832,1.2229,4.1701,27.2493,64.4487,3.4692,705,705,62.4424,107.4961,4.8867,81,1.5074,,2.2339
16944,24,4.3895,166.6667,3.1604,270,25,,17.5439,12.9961,11.7852,15,-0.8481,277.4658,1.5802,0.4376,1.4438,92.9583,4.3895,720,720,60,136.4922,0,90,1.4403,,9.5885
17664,25,3.3302,165.5172,2.4144,264,27.0718,,18.2447,15.6914,9.3086,3,-7.5649,264.6484,1.2072,8.3974,27.8341,62.2137,3.3302,725,725,57.2668,105.6094,5.2031,98,2.2347,,2.0673
18389,26,4.431,169.0141,3.146,266,25.0704,,18.3373,14.8047,10.8203,14,-1.441,270.2637,1.573,0.8071,2.3822,92.8372,4.431,710,710,59.9099,135.4766,0,89,1.4149,,9.3211
19099,27,3.5198,169.0141,2.4991,270,23.9437,,18.4869,12.6133,13.5156,2,-10.9658,306.0913,1.2495,6.8481,28.4216,63.1685,3.5198,710,710,61.3636,109.2773,9.0273,85,1.6246,,1.8998
19809,28,3.5193,166.6667,2.5339,260,27.7778,,16.4448,10.5703,12.5977,2,-7.7642,302.7344,1.2669,6.7507,28.6292,61.957,3.5193,720,720,56.5217,110.75,5.4727,100,2.2171,,1.8407
20529,29,3.3549,164.3836,2.4491,280,23.2877,,20.0231,14.25,14.0664,1,-7.0358,206.2988,1.2245,6.0092,33.5194,61.5591,3.3549,730,730,62.2222,106.2344,5.4297,85,1.6577,,0.447
21259,30,3.336,172.4138,2.3219,270,22.4138,,15.2241,5.4609,14.2109,1,-10.3659,204.834,1.1609,6.7566,31.909,58.5117,3.336,696,696,63.3803,102.8125,9.0352,78,1.4725,,0.9059
21955,31,3.3899,166.8985,2.4373,270,24.7911,,10.956,7.5313,7.957,2,-11.1233,357.3608,1.2187,5.4492,29.1468,63.6212,3.3899,719,719,60.1336,106.8477,9.8086,89,1.8261,,1.6932
22674,32,3.2776,169.0141,2.3271,270,23.9437,,11.5695,4.4961,10.6602,1,-9.6079,275.9399,1.1635,7.1179,30.8538,58.2266,3.2776,710,710,61.3636,102.1953,7.8867,85,1.7445,,1.2067
23384,33,3.3014,167.8322,2.3605,269,24.6499,,21.1227,15.0547,14.8164,2,-9.3568,404.541,1.1802,6.5557,28.2242,60.4283,3.3014,715,715,60.3139,103.3867,7.3906,88,1.8433,,1.9561
24099,34,3.424,173.6614,2.366,280,18.8406,,16.2435,3.5469,15.8516,2,-1.7216,146.3013,1.183,5.3244,28.2294,66.0945,3.424,691,691,68.1265,105.5195,2.168,65,1.0036,,1.9546
24790,35,3.1789,172.6619,2.2094,266,23.3429,,14.8536,9.4297,11.4766,2,-7.4832,326.1108,1.1047,8.9357,28.19,61.9103,3.1789,695,695,62.0047,98.043,5.9961,81,1.6687,,1.9659
25485,36,3.4253,166.6667,2.4662,260,27.7778,,16.4122,10.0078,13.0078,2,-11.1959,343.75,1.2331,8.1329,29.337,59.3286,3.4253,720,720,56.5217,107.2578,9.8477,100,2.2779,,1.639
26205,37,3.3885,166.8985,2.4364,270,24.7911,,15.1097,10.7969,10.5703,1,-7.8537,387.085,1.2182,5.3737,32.7127,63.5729,3.3885,719,719,60.1336,107.3906,5.957,89,1.8268,,0.6769
26924,38,4.5068,163.0435,3.317,255,30.7065,,14.6536,11.4688,9.1211,14,-0.0705,265.8081,1.6585,3.6877,3.1034,93.3347,4.5068,736,736,53.0146,141.7305,0,113,2.1627,,9.1155
27660,39,3.3961,164.6091,2.4757,245,32.6923,,17.701,13.4297,11.5313,1,-5.4603,273.8037,1.2379,6.6315,31.8933,54.262,3.3961,729,729,50.6198,106.4023,4.0898,119,3.2117,,0.9104
28389,40,3.4761,168.7764,2.4715,250,29.5775,,17.0254,11.6055,12.457,1,-5.9565,301.9409,1.2358,5.5492,32.9214,58.7107,3.4761,711,711,54.2299,106.7383,4.2734,105,2.5057,,0.6174
29100,41,3.3205,167.8322,2.3741,264,26.0504,,14.696,10.1406,10.6367,1,-9.5984,232.2998,1.1871,6.9531,36.239,59.8182,3.3205,715,715,58.5366,102.7227,7.3867,93,2.0468,,-0.3281
29815,42,3.4011,167.8322,2.4318,261,26.8908,,13.1211,10.2656,8.1719,1,-8.4608,275.6348,1.2159,7.8771,32.0986,59.2432,3.4011,715,715,57.489,105.7969,6.3594,96,2.1291,,0.8519
30530,43,3.4307,166.6667,2.4701,260,27.7778,,19.0316,12.875,14.0156,1,-5.277,240.1123,1.235,11.4617,32.7046,58.1302,3.4307,720,720,56.5217,104.6328,4.293,100,2.2743,,0.6792
31250,44,3.155,161.0738,2.3505,264,29.0323,,18.405,10.0273,15.4336,1,-7.3858,396.4844,1.1752,7.9891,35.1192,60.1307,3.155,745,745,54.8857,101.8398,5.3477,108,2.787,,-0.009
31995,45,3.2049,166.6667,2.3075,295,18.0556,,10.9961,8.8086,6.582,1,-4.8748,242.2485,1.1538,6.3272,36.5419,64.8471,3.2049,720,720,69.4118,100.2227,4.082,65,1.029,,-0.4144
32715,46,3.1888,165.5172,2.3119,285,21.2707,,12.1547,6.7656,10.0977,1,-6.2341,302.6123,1.1559,5.5398,32.6299,63.1419,3.1888,725,725,64.7727,100.918,4.8555,77,1.4412,,0.7005
