timestamp,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,split_stride_pace,cycle_time,split_cycle_time,contact_ratio,debug_1,debug_2,flight_time,stride_angle,walking,footstrike_type_new
0,1,3.9983,190.4762,2.519,160,49.2063,,3.4049,3.0938,1.4219,16,-0.6923,14.7705,1.2595,2.9491,0.1078,45.2795,3.9983,630,630,34.0426,89.1016,0,155,5.3453,,9.9693
630,2,3.3639,164.1587,2.459,241,33.9726,,20.9898,15.5117,14.1406,4,-16.2436,624.3896,1.2295,6.524,25.3764,37.1256,3.3639,731,731,49.1837,87.0195,19.2891,124,3.5102,,2.7677
1361,3,3.3634,162.1622,2.4889,250,32.4324,,18.2766,11.832,13.9297,5,-17.1257,648.6206,1.2445,3.7089,22.5221,41.7145,3.3634,740,740,51.0204,88.0664,19.5781,120,3.2484,,3.5812
2101,4,3.3105,162.3816,2.4464,255,30.8943,,16.3067,5.4219,15.3789,4,-16.1093,598.3276,1.2232,1.325,22.9348,40.1157,3.3105,739,739,52.686,88.0742,18.9961,114,2.9832,,3.4636
2840,5,3.2356,160,2.4267,255,32,,14.2505,7.3008,12.2383,5,-16.7966,610.1074,1.2133,2.4262,21.0637,41.5727,3.2356,750,750,51.5152,85.9727,18.6406,120,3.3316,,3.9968
3590,6,3.2911,157.8947,2.5012,260,31.5789,,12.3048,7.082,10.0625,4,-19.7826,708.374,1.2506,5.6792,23.0458,38.0314,3.2911,760,760,52,89.3359,22.0781,120,3.2325,,3.4319
4350,7,3.2044,161.0738,2.3873,245,34.1398,,18.9677,15.0391,11.5586,5,-19.3456,689.5752,1.1936,6.3077,22.3185,36.2081,3.2044,745,745,49,85.625,21.625,127,3.792,,3.6392
5095,8,3.2506,162.1622,2.4054,250,32.4324,,18.9376,13.4766,13.3047,5,-20.1477,692.8101,1.2027,8.2519,22.4159,38.3061,3.2506,740,740,51.0204,85.7109,22.3242,120,3.361,,3.6115
5835,9,3.3124,160.8579,2.471,241,35.3887,,16.9127,13.8633,9.6875,7,-18.6301,649.6582,1.2355,4.938,17.5634,38.107,3.3124,746,746,47.7228,89.0117,20.1875,132,3.9571,,4.9944
6581,10,3.2727,158.1028,2.484,280,26.1214,,16.2509,13.8555,8.4922,6,-17.1945,651.6113,1.242,1.8207,19.0439,45.4663,3.2727,759,759,58.4551,90.4453,18.7305,99,2.2167,,4.5725
7340,11,3.3146,163.0435,2.4396,255,30.7065,,17.9429,15.5742,8.9102,7,-20.4803,775.0854,1.2198,7.6773,17.0708,41.9332,3.3146,736,736,53.0146,89.5195,21.7891,113,2.9394,,5.1348
8076,12,3.1638,160.2136,2.3696,280,25.1337,,15.8353,13.293,8.6055,9,-19.8498,609.6191,1.1848,2.8228,13.1694,46.31,3.1638,749,749,59.7015,88.6836,19.5391,94,2.0949,,6.2467
8825,13,2.8589,153.8462,2.2299,280,28.2051,,15.3974,11.9648,9.6914,8,-18.6327,643.3105,1.115,6.4477,14.8792,39.8309,2.8589,780,780,56,83.5742,18.0391,110,3.0471,,5.7594
9605,14,3.1831,157.8947,2.4191,255,32.8947,,16.0974,14.7422,6.4648,11,-20.6163,640.1367,1.2096,1.5544,7.7061,46.4649,3.1831,760,760,50.495,91.582,19.2109,125,3.6255,,7.8038
