timestamp,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,split_stride_pace,cycle_time,split_cycle_time,contact_ratio,debug_1,debug_2,flight_time,stride_angle,walking,footstrike_type_new
639,1,2.3699,164.1587,1.7324,301,17.5342,,16.1318,13.4141,8.9609,2,-0.412,160.2173,0.8662,22.7798,29.2972,58.8593,2.3699,731,731,70,78.6953,0.7031,64,1.3287,,1.6503
1370,2,2.3686,163.0435,1.7433,280,23.913,,18.8622,13.125,13.5469,4,-0.7517,166.3818,0.8717,26.4142,25.0527,52.9666,2.3686,736,736,61.4035,78.8867,1.2891,88,2.4952,,2.86
2106,3,2.4435,165.2893,1.774,285,21.4876,,17.3367,14.2031,9.9414,3,-0.964,111.5112,0.887,22.7947,25.8137,53.5813,2.4435,726,726,64.6259,82.6055,0.75,78,1.9269,,2.6431
2832,4,2.5476,165.5172,1.847,256,29.2818,,13.79,10.5938,8.8281,3,-1.017,149.1089,0.9235,20.4586,26.1481,39.6268,2.5476,725,725,54.5842,84.207,1.4727,106,3.4152,,2.5478
3557,5,2.5155,164.1587,1.8388,290,20.5479,,16.6524,15.1133,6.9922,4,-0.7983,123.8403,0.9194,25.5716,25.1978,54.818,2.5155,731,731,65.7596,81.3125,0.8047,75,1.7189,,2.8186
4288,6,2.5074,160.8579,1.8705,285,23.5925,,16.975,10.9063,13.0078,5,1.2438,152.6489,0.9352,22.5618,21.7711,55.1653,2.5074,746,746,61.8221,85.5273,0.9805,88,2.3257,,3.7952
5034,7,2.54,165.5172,1.8415,296,18.232,,10.5111,4.5391,9.4805,3,-0.7129,119.2627,0.9208,22.735,25.7663,60.9762,2.54,725,725,68.9977,84.2148,0.707,66,1.3293,,2.6566
5759,8,2.5302,161.9433,1.8749,305,17.5676,,17.1725,6.707,15.8086,3,-1.8968,141.2964,0.9374,25.7381,27.515,62.1892,2.5302,741,741,69.9541,84.2031,1.8125,65,1.2664,,2.1582
6500,9,2.5226,164.1587,1.844,296,18.9041,,14.2442,5.6445,13.0781,3,-1.0575,128.9063,0.922,23.7467,25.9805,58.8949,2.5226,731,731,68.046,83.0781,1.3398,69,1.4509,,2.5955
7231,10,2.454,160.8579,1.8307,294,21.1796,,12.765,7.6133,10.2461,3,-0.5216,142.0288,0.9153,23.0447,25.8001,56.5115,2.454,746,746,65.0442,82.7656,1,79,1.9155,,2.647
