timestamp,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,split_stride_pace,cycle_time,split_cycle_time,contact_ratio,debug_1,debug_2,flight_time,stride_angle,walking,footstrike_type_new
0,17,2.1168,175.4386,1.4479,270,21.0526,,18.4625,13.6016,12.4844,15,-3.7299,206.665,0.724,-53.5232,0.897,29.9339,2.1168,684,684,65.2174,63.4688,0,72,2.0116,,9.7444
684,18,1.4576,169.9717,1.0291,265,24.9292,,20.0819,12.9141,15.3789,15,-3.1265,241.333,0.5145,-42.3596,0.8085,32.6744,1.4576,706,706,60.0907,65.7969,0,88,4.2221,,9.7696
1390,19,2.0848,171.4286,1.4594,276,21.1429,,18.778,12.1328,14.332,15,-1.0291,257.8735,0.7297,-46.8921,0.7681,32.1382,2.0848,700,700,65.0943,64.5156,0,74,2.1081,,9.7811
2090,20,2.2772,171.184,1.5963,275,21.4286,,12.6706,6.9688,10.582,14,-1.9061,173.645,0.7982,-47.9148,1.9187,35.9077,2.2772,701,701,64.554,68.6523,0,75,1.9798,,9.4532
2791,21,1.9047,169.2525,1.3505,265,25.1412,,16.3152,11.7148,11.3555,15,-1.3862,185.6079,0.6752,-47.6321,1.4103,33.1369,1.9047,709,709,59.6847,61.543,0,89,3.2931,,9.5981
3500,22,2.4151,171.184,1.693,260,25.7143,,16.8615,10.3984,13.2734,15,2.7814,202.0874,0.8465,41.9341,1.2968,35.6154,2.4151,701,701,58.9569,61.8906,0,90,2.6873,,9.6304
4201,23,1.6695,172.6619,1.1603,86,75.2161,,17.9289,13.1133,12.2266,14,-0.5132,133.4229,0.5801,-14.9382,2.0846,31.0396,1.6695,695,695,14.1215,44.8711,0,261,29.9399,,9.4059
4896,24,2.0469,170.2128,1.443,276,21.5909,,17.6886,10.8164,13.9961,16,-0.6194,174.0723,0.7215,-48.9536,0.3327,28.0737,2.0469,705,705,64.3357,57.8789,0,76,2.2486,,9.9052
5601,25,2.2685,170.2128,1.5993,261,25.8523,,18.4564,13.7422,12.3203,15,-1.3267,134.8877,0.7996,-41.6545,1.4683,36.4759,2.2685,705,705,58.7838,59.4805,0,91,2.9079,,9.5815
6306,26,2.7159,167.5978,1.9445,284,20.6704,,17.0853,13.8672,9.9805,15,-1.7226,213.0737,0.9723,-54.044,0.8969,39.4349,2.7159,716,716,65.7407,67.1172,0,74,1.5824,,9.7444
7022,27,3.0452,169.0141,2.1621,265,25.3521,,18.5046,15.6445,9.8828,13,-1.5714,155.3345,1.081,-50.8992,3.8227,41.1278,3.0452,710,710,59.5506,62.7734,0,90,2.1048,,8.9105
7732,28,2.9318,169.0141,2.0816,285,19.7183,,18.4932,12.9648,13.1875,15,-1.6317,176.3306,1.0408,-49.2352,0.7689,37.3535,2.9318,710,710,67.0588,59.4766,0,70,1.3229,,9.7809
8442,29,3.3577,167.5978,2.4041,260,27.3743,,18.6968,14.6836,11.5742,15,3.23,231.2012,1.2021,47.0202,0.622,42.1021,3.3577,716,716,57.0175,61.7539,0,98,2.2442,,9.8227
9158,30,3.3661,170.2128,2.3731,280,20.4545,,17.5383,13.5742,11.1055,15,-1.7311,162.1704,1.1866,-51.7606,1.4602,47.3939,3.3661,705,705,65.8824,69.1914,0,72,1.2276,,9.5838
10218,32,3.1942,216.2162,1.7728,450,0,,5.1995,5.0352,1.2969,1,-66.1673,54.6875,0.8864,7.8498,58.3045,34.6112,3.1942,555,555,428.5714,36.9336,0,-173,9.4039,,-6.6168
10773,33,2.2741,230.7692,1.1826,96,63.0769,,6.2748,4.6055,4.2617,14,-7.1295,0,0.5913,36.3108,2.1921,9.8426,2.2741,520,520,22.6415,33.8711,0,164,12.5777,,9.3753
11293,34,3.0372,167.8322,2.1716,255,28.5714,,20.1741,12.4141,15.9023,14,-1.7703,172.1191,1.0858,-48.1391,2.1089,38.4363,3.0372,715,715,55.4348,60.8125,0,102,2.6909,,9.399
12008,35,3.3901,168.7764,2.4103,266,25.0704,,19.9426,14.4297,13.7656,15,-0.8888,134.7046,1.2052,-51.0041,1.4081,43.1137,3.3901,711,711,59.7753,63.4219,0,89,1.8465,,9.5987
12719,36,3.78,170.2128,2.6649,270,23.2955,,19.8967,13.0586,15.0117,15,-0.2851,120.6665,1.3324,-48.4783,1.4335,43.849,3.78,705,705,62.069,65.1484,0,82,1.4179,,9.5915
13424,37,2.1844,170.2128,1.54,95,73.0114,,16.6671,11.7031,11.8672,15,-2.0326,205.8716,0.77,-15.7484,1.6281,34.0529,2.1844,705,705,15.5738,46.0586,0,257,22.8181,,9.536
14129,38,3.4503,167.8322,2.467,255,28.5714,,15.3771,10.5703,11.168,13,-0.8033,129.8828,1.2335,-50.9254,3.4835,44.1544,3.4503,715,715,55.4348,64.3398,0,102,2.3691,,9.0072
14844,39,3.0596,168.7764,2.1754,270,23.9437,,17.541,10.1133,14.332,7,-12.9523,136.4136,1.0877,-38.3702,17.2544,30.9666,3.0596,711,711,61.2245,57.5898,10.2539,85,1.8661,,5.0825
15905,41,3.1376,212.3894,1.7728,410,0,,5.3118,5.0898,1.5195,1,-74.993,73.4253,0.8864,8.1167,60.1687,35.194,3.1376,565,565,264.5161,31.6641,0,-128,5.1805,,-7.1481
16470,42,2.8457,235.2941,1.4513,80,68.6275,,4.8785,4.3164,2.2734,16,-9.893,0,0.7256,34.5804,0.1329,9.1531,2.8457,510,510,18.6047,33.2109,0,175,11.6956,,9.9621
16980,43,4.0772,169.9717,2.8785,245,30.5949,,12.3593,8.875,8.6016,14,-1.0942,138.1226,1.4392,53.8209,3.0523,44.3822,4.0772,706,706,53.1453,70.3164,0,108,2.2764,,9.1301
17686,44,3.921,169.0141,2.7839,279,21.4085,,17.3591,11.5039,13,13,0.678,119.0186,1.392,63.3135,3.6992,47.3439,3.921,710,710,64.7332,66.7813,0,76,1.166,,8.9457
18396,45,3.983,167.8322,2.8478,270,24.3697,,18.5269,12.9453,13.2539,15,-0.4012,162.1094,1.4239,-57.8262,0.8823,43.3433,3.983,715,715,60.6742,66.0508,0,87,1.4935,,9.7486
19111,46,4.6133,167.5978,3.3031,250,30.1676,,16.3705,14.6641,7.2773,12,0.2052,140.2588,1.6515,-54.8115,5.2427,44.737,4.6133,716,716,53.6481,69.0391,0,108,1.984,,8.5058
19827,47,4.4495,168.0672,3.177,285,20.1681,,18.5452,13.1719,13.0547,14,-0.3748,69.458,1.5885,-58.3078,1.7611,42.2587,4.4495,714,714,66.4336,65.3672,0,72,0.9171,,9.4981
20541,48,4.2119,166.4355,3.0368,276,23.3333,,16.3511,8.25,14.1172,14,-0.0809,173.4009,1.5184,-59.1036,2.9543,43.7096,4.2119,721,721,62.0225,62.8047,0,84,1.3057,,9.158
21262,49,4.6498,162.1622,3.4409,275,25.6757,,13.8832,8.0039,11.3438,14,0.2604,208.9844,1.7204,-60.8872,2.8019,44.845,4.6498,740,740,59.1398,66.7813,0,95,1.4739,,9.2015
22002,50,4.7737,167.8322,3.4132,274,23.2493,,21.1333,15,14.8867,15,0.1592,165.1611,1.7066,-58.5185,1.2695,44.3185,4.7737,715,715,62.1315,65.8359,0,83,1.1343,,9.6382
22717,51,4.6922,165.2893,3.4065,281,22.5895,,18.3115,14.1992,11.5625,14,-1.0964,199.2188,1.7033,-58.9784,2.3729,44.5544,4.6922,726,726,63.1461,66.4375,0,82,1.1093,,9.3237
23443,52,4.4103,166.6667,3.1755,285,20.8333,,18.2181,13.8828,11.7969,13,1.4331,163.8794,1.5877,60.9948,3.2674,41.4178,4.4103,720,720,65.5172,61.2344,0,75,0.9956,,9.0688
24163,53,4.4782,166.6667,3.2243,280,22.2222,,18.184,11.8359,13.8047,14,-0.0927,149.4141,1.6122,60.6334,2.8878,43.4216,4.4782,720,720,63.6364,65.1836,0,80,1.1155,,9.177
24883,54,4.6124,166.6667,3.321,275,23.6111,,15.8848,9.625,12.6367,13,-0.5938,161.9873,1.6605,-63.7879,3.3838,41.6629,4.6124,720,720,61.7978,59.6016,0,85,1.2226,,9.0356
25603,55,4.3651,166.4355,3.1473,285,20.8333,,16.5168,11.3945,11.957,12,0.2881,139.9536,1.5736,-65.8591,4.9925,53.0099,4.3651,721,721,65.367,66.3438,0,75,1.0045,,8.5771
26324,56,4.5679,166.8985,3.2843,275,23.3983,,21.4321,14.7109,15.5859,13,0.0112,136.7798,1.6422,-56.7747,3.5569,45.135,4.5679,719,719,61.9369,62.5664,0,84,1.2074,,8.9863
27043,57,4.1566,168.7764,2.9553,286,19.4366,,18.492,9.9453,15.5898,14,0.7144,186.5845,1.4777,59.2865,1.7898,40.8037,4.1566,711,711,67.2941,62.875,0,69,0.9054,,9.4899
27754,58,2.4452,165.5172,1.7728,420,0,,15.8856,10.0664,12.2891,14,0.0555,159.0576,0.8864,90.5112,2.1184,111.7673,2.4452,725,725,137.7049,61.3867,0,-58,1.0665,,9.3963
28479,59,4.1149,165.2893,2.9874,260,28.3747,,16.736,10.7813,12.8008,15,1.7751,166.2598,1.4937,-57.1056,1.4883,38.5667,4.1149,726,726,55.794,58.9844,0,103,1.9952,,9.5758
29205,60,4.9189,169.0141,3.4924,269,24.2254,,17.4929,9.2617,14.8398,14,0.3768,80.8716,1.7462,-60.0131,2.4338,46.2518,4.9189,710,710,60.9977,68.293,0,86,1.1902,,9.3064
